	sentence1	sentence2	class	pred	actual
121	"இதற்கு முன் ""ஊழல் இந்தியா"" என்ற அடையாளம் இருந்தது. அது இனி""திறமையான இந்தியா"" என்ற அடையாளத்தை பெறும் என பிரதமர் மோடி கூறினார்"	"ஊழல் இந்தியா"" என்ற அடையாளத்தை மாற்றி ""திறமை இந்தியா"" ஆக்குவோம் : மோடி"	P	1.0	0.0
146	இந்தியாவில், யானைகள் தந்ததிற்காக கொல்லப்படும் சம்பவங்களின் பின்னணியில், கடத்தல் கும்பல்கள் இருப்பதாக, உலக வனவிலங்கு கண்காணிப்பு அமைப்பு தெரிவித்து உள்ளது.	யானை தந்தம் கடத்தல் பின்னணியில் பயங்கர கும்பல்	P	1.0	0.0
162	இழப்பதற்கு ஒன்றுமில்லை என்றிருப்பவனிடம் சண்டையிட்டால் அது நல்லதல்ல	இனி இழக்க எதுவும் இல்லை என்று நினைத்துக்கொண்டிருப்பவனிடம் சண்டையிடுவது நல்லதாக இருக்காது	P	1.0	0.0
178	உத்தரப்பிரதேச மாநிலம் மீரட் நகரில் ஆக்கிரமிப்பு அகற்றும் பணியின்போது கட்டிடம் இடிந்து விழுந்ததில் 4 பேர் இறந்தனர்.	உ.பி.யில் ஆக்கிரமிப்பு கட்டிடம் இடிந்து 4 பேர் பலி 	P	1.0	0.0
185	உலக சாதனை படைத்து கின்னஸில் இடம் பெறும் முயற்சியாக ஒரே நாளில் 5 கோடி மரங்களை நடும் பணியில் இறங்கியுள்ளது உத்தரப் பிரதேச அரசு.	கின்னஸ் சாதனை முயற்சி: ஒரே நாளில் 5 கோடி மரங்கள் நடுகிறது உ.பி.	P	1.0	0.0
192	உள்நாட்டுப் போர் காரணமாக தெற்கு சூடானில் சிக்கி தவித்த இந்தியர்களில் 146-க்கும் மேற் பட்டோர் பத்திரமாக மீட்கப் பட்டுள்ளனர்	தெற்கு சூடானில் இருந்து 146 இந்தியர்கள் மீட்பு	P	1.0	0.0
212	ஏமனில் சிக்கி தவித்த இந்தியர்கள் மீட்கும் பணி நிறைவடைந்தாகவும், இதில் மும்முரமாக செயலப்பட்ட மத்திய அமைச்சர் வி.கே.சிங் இன்று நாடு திரும்புவதாகவும் தகவல்கள் வெளியாகியுள்ளன	ஏமனில் சிக்கித்தவித்த இந்தியர்களை மீட்டெடுக்கும் பணிகள் நிறைவு மத்திய அமைச்சர்நாடு திரும்புகிறார் என தகவல்	P	1.0	0.0
213	ஏர்செல் மேக்சிஸ் வழக்கில் சிபிஐ சிறப்பு நீதிமன்றத்தில் நேற்று நேரில் ஆஜரான தயாநிதி மாறன், கலாநிதி மாறன் உள்ளிட்டோர் ஜாமீன் கோரி விண்ணப்பித்துள்ளனர்.	ஏர்செல்-மேக்சிஸ் வழக்கில் கலாநிதி, தயாநிதி சகோதரர்கள் ஜாமீன் கோரி மனு	P	1.0	0.0
229	ஒரு மாநிலத்திலிருந்து மற்ற மாநிலத்திற்கு சென்று, மொபைல் போன்களை பயன்படுத்தும் போது செலுத்த வேண்டிய, 'ரோமிங்' கட்டணம் குறைக்கப்பட்டுள்ளது	மொபைல் போன் 'ரோமிங்' கட்டணங்கள் குறைப்பு	P	1.0	0.0
232	ஒளி மாசு காரணமாக இரவு நேரங்களில் விண்ணில் உள்ள பால் வீதியை மூன்றில் ஒரு பங்கு மனிதர்களால் காண முடிவதில்லை என விஞ்ஞானிகள் தெரிவித்துள்ளனர்	ஒளி மாசால் மூன்றில் ஒரு பங்கு மனிதர்களால்இரவில்பால்வீதியைபார்க்கமுடியாமல் போகிறது எனவிஞ்ஞானிகள்அதிர்ச்சிதகவல்	P	1.0	0.0
235	கங்கை நதியைச் சுத்தப்படுத்து வதற்காக 300 திட்டங்களின் ஒருங் கிணைப்புத் திட்டமான ‘நமாமி கங்கா’ திட்டம் இன்று முதல அமலுக்கு வருகிறது	கங்கையை தூய்மைப்படுத்தும் திட்டம் இன்று தொடக்கம்	P	1.0	0.0
236	கங்கையின் புனித நீர், புட்டிகளில் அடைக்கப்பட்டு அனைத்து தபால் நிலையங்களிலும் விற்கப்படும்	புனித கங்கை தீர்த்தம் தபால் மூலம் பெறலாம் 	P	1.0	0.0
248	கடந்த மாதம் பெரிய அளவில் போராட்டம் நடத்திய படேல் ஜாதியினர், இன்று முதல், அடுத்த கட்ட போராட்டத்தை துவக்கப் போவதாக அறிவித்துள்ளனர்.	படேல் ஜாதியினர் மீண்டும் போராட முடிவு	P	1.0	0.0
255	கடின உழைப்பே வெற்றிக்கனிக்கு காரணம்	கடினமாக உழைத்தால் மட்டுமே வெற்றியின் கனியை பறிக்கமுடியும்	P	1.0	0.0
271	கல்வி உதவித் தொகை மற்றும் ஆராய்ச்சி உதவித் தொகை ஆகியவற்றுக்கு ஆதார் எண்ணைச் சமர்ப்பிக்க வேண்டும் என பல்கலைக்கழக மானியக் குழு (யுஜிசி) அறிவித்துள்ளது	யுஜிசி கல்வி உதவித்தொகைக்கு ஆதார் அவசியம்	P	1.0	0.0
283	காஷ்மீர் தலைநகர் ஸ்ரீநகரில், பிரிவினைவாதிகள் பேரணி நடத்தினர். இந்த பேரணியில் கலந்து கொண்ட பலர், இந்தியாவுக்கு எதிராக கோஷம் எழுப்பினர்	காஷ்மீரில் பிரிவினைவாதிகள் நடத்திய பேரணியில் இந்தியாவுக்கு எதிரான கோஷம் இட்டனர்	P	1.0	0.0
320	கோவிலுக்கு செல்பவர்கள் யோக்கியர்களும் இல்லை, கோவிலுக்கு செல்லாதவர்கள் அயோக்கியர்களும் இல்லை.	கெட்டவர்கள் கோவிலுக்கு வராமலும் இல்லை, நல்லவர்கள் கோவிலுக்கு வராமலும் இருக்கிறார்கள் 	P	1.0	0.0
323	ங்களூருவில் மெட்ரோ ரயில் அறிமுகமான பின் காற்று மாசு குறைந்துள்ளதாக கர்நாடக மாநில மாசு கட்டுப்பாட்டு வாரியம் நடத்திய ஆய்வில் தெரிய வந்துள்ளது	மெட்ரோ ரயிலால் பெங்களூருவில் மாசு குறைந்தது 	P	1.0	0.0
326	சட்ட அமைச்சகத்திடம் உள்ள புள்ளிவிவரங்களின்படி, உயர் நீதிமன்றங்களில் கடந்த 2015-ம் ஆண்டு 392 நீதிபதிகள் காலிப் பணியிடங்கள் இருந்தன.	உயர் நீதிமன்றங்களில் 470 நீதிபதிகள் பற்றாக்குறை	P	1.0	0.0
396	டில்லியில் பெரிய அளவில் பயங்கரவாத தாக்குதல் நடத்த திட்டமிட்டிருந்த அல்குவைதா பயங்கரவாத அமைப்பை சேர்ந்த பயங்கரவாதிகள் இருவர் டில்லியிலும், ஒருவர் ஒடிசாவிலும் கைது செய்யப்பட்டுள்ளனர்.	டில்லியில் தாக்குதல் சதி : 3 பயங்கரவாதிகள் கைது	P	1.0	0.0
414	தமிழக அரசு அளிக்கும், இலவச மிக்சி, கிரைண்டர், மின்விசிறி ஆகியவை, உள்ளூர் மட்டுமல்ல, அண்டை மாநில தெருக்களிலும், கூவி கூவி விற்கப்படுகின்றன.	தமிழக இலவச மிக்சி, கிரைண்டர் விற்பனை அமோகம் : பக்கத்து மாநிலங்களில் கூவி கூவி வியாபாரம்	P	1.0	0.0
428	தமிழகத்துக்கு தண்ணீர் திறந்துவிட முடியாது என, கர்நாடக மாநில தலைமைச் செயலர், கவுசிக் முகர்ஜி, தமிழக அரசுக்கு கடிதம் எழுதியுள்ளார்	தமிழகத்துக்கு தண்ணீர் 'நோ' : கர்நாடக அரசு மீண்டும் அடம்	P	1.0	0.0
429	தமிழகம் முழுவதும் உள்ள ரேஷன் கடைகளில், உணவு பொருட்கள் இல்லாத நிலை ஏற்பட்டுள்ளது. இப்பிரச்னையை அரசும் கண்டு கொள்ளாததால், பொதுமக்கள் கடும் அதிருப்தி அடைந்து உள்ளனர்.	ரேஷன் கடைகளில் உணவுபொருட்கள் பற்றாக்குறை இருப்பதை அரசும் கண்டுகொள்ளததால் பொதுமக்கள் அதிர்ச்	P	1.0	0.0
435	தயாநிதி, கலாநிதி மாறனின் ஜாமீன் மனு மீதான விசாரணை வரும் ஆகஸ்ட் 1-ம் தேதிக்கு ஒத்திவைக்கப்பட்டுள்ளது	மாறன் சகோதரர்கள் ஜாமீன் மனு ஆக.1-க்கு ஒத்திவைப்பு	P	1.0	0.0
447	தி.மு.க.,வைச் சேர்ந்த முன்னாள் மத்திய அமைச்சர் தயாநிதி, அவர் அண்ணன் கலாநிதி ஆகியோருக்கு சொந்தமான, 742 கோடி ரூபாய் மதிப்புள்ள சொத்துகளை, மத்திய அமலாக்கத் துறை, நேற்று முடக்கியுள்ளது.	மாறன் சகோதரர்களின் 742 கோடி சொத்துகள் முடக்கி மத்திய அமலாக்கத்துறை நடவடிக்கை	P	1.0	0.0
449	திமுக வின் தோல்வி மற்றும் எதிர்க்கட்சித்தலைவராக யாரைத் தேர்ந்தெடுக்கலாம் என்பதை ஆராய திமுக செயற்குழு கூட்டம் கூடுகிறது	திமுக செயற்குழு கூடியது. சட்டமன்ற தேர்தலுக்குபின் கூடும் இக்கூட்டத்தில் எதிர்க்கட்சி தலைவர் யார், தோல்வி குறித்த விவாதங்கள் நடைபெற இருக்கின்றன	P	1.0	0.0
461	திருப்பதி, திருமலையில் பக்தர்களின் பாதுகாப்பிற்காக 24 மணி நேரமும், 'ஆக்டோபஸ் கமாண்டோ படை' இயங்கி வருகிறது	திருமலையில் ஆக்டோபஸ் கமாண்டோ அலுவலகம் இயக்கப்படுகிறது	P	1.0	0.0
468	திருமணத்துக்காக பிரிட்டனில் இருந்து இலங்கை திரும்பிய தமிழரை கைது செய்து, சிறையில் அடைத்து சித்ரவதை செய்துள்ள சம்பவம் பெரும் பரபரப்பை ஏற்படுத்தியுள்ளது	திருமணத்துக்காக பிரிட்டனில் இருந்துஇலங்கைதிரும்பியதமிழரைகைதுசெய்துசித்ரவதை	P	1.0	0.0
476	துப்பாக்கிச்சூட்டில் பலியானவர்களின் குடும்பத்தினருக்கு, தே.மு.தி.க., தலைவர் விஜயகாந்த், நிதி உதவி வழங்கினார்	துப்பாக்கிச்சூட்டில் இறந்தவர் குடும்பங்களுக்கு விஜயகாந்த் உதவி	P	1.0	0.0
486	தேசிய மலரான தாமரையை பாரதிய ஜனதா கட்சி பயன்படுத்துவதற்கு தடைவிதிக்கும்படி மும்பை உயர் நீதிமன்றத்தில் பொதுநல மனு தாக்கல் செய்யப்பட்டுள்ளது.	தேசிய மலர் என்பதால் பாஜக தாமரை சின்னத்தை முடக்க கோரி பொதுநல மனு	P	1.0	0.0
506	நாட்டின் பணவீக்க விகிதம்வரலாறு காணாத வகையில்,குறைந்துள்ளது. இதனால், தொழில் துறையில் ,வங்கி வட்டி விகிதத்தை, ரிசர்வ் வங்கி குறைக்கும் என்ற கருத்து, மேலோங்கி உள்ளது.	வரலாறு காணாத வகையில் பணவீக்கம் சரிவு! வட்டியை குறைக்க தொழில் துறை வலியுறுத்தல்	P	1.0	0.0
512	நாட்டின் வர்த்தக தலைநகரான மும்பை உட்பட, சில முக்கிய நகரங்களில், பாகிஸ்தானை சேர்ந்த, லஷ்கர் - இ - தொய்பா பயங்கரவாதிகள், தற்கொலை படை தாக்குதல் நடத்த திட்டமிட்டுள்ளதாக, உளவுத்துறை எச்சரிக்கை விடுத்துள்ளது	மும்பை உட்பட, சில முக்கிய நகரங்களில்லஷ்கர் - இ - தொய்பா தற்கொலை படை தாக்குதல் நடத்த திட்டமிட்டுள்ளதாக, உளவுத்துறை எச்சரிக்கை	P	1.0	0.0
520	நாய் இறைச்சி உணவுக்கு தடை விதிக்க நாகாலாந்து அரசு முடிவு செய்துள்ளது.	நாய் இறைச்சிக்கு நாகாலாந்தில் தடை 	P	1.0	0.0
551	பர்கர்கள், பீட்சாக்கள், டோனட்ஸ், சாண்ட்விட்ச்கள் மற்றும் பாஸ்தா ஆகியவற்றுக்கு 14.5% ‘கொழுப்பு வரி’ விதித்துள்ளது கேரள மாநிலம்	பீட்சா, பர்கர்களுக்கு கேரளாவில் ‘கொழுப்பு வரி’ விதிப்பு 	P	1.0	0.0
566	பாகிஸ்தான் அரசு தீவிரவாதத்தை மட்டுமே தனது வெளியுறவு கொள்கையாகக் கொண்டு செயல்படுகிறது என்று ஐ.நா. சபையில் இந்தியா குற்றம் சாட்டியுள்ளது	தீவிரவாதிகள் புகழ் பாடுகிறது பாகிஸ்தான்: ஐ.நா. சபையில் இந்தியா கடும் குற்றச்சாட்டு	P	1.0	0.0
568	பாகிஸ்தானில் இருந்து இந்தியாவுக்கு கடத்தப்பட்ட, 21 கிலோ ஹெராயின் போதைப்பொருட்களை எல்லைப் பாதுகாப்புப் படையினர் நேற்று பறிமுதல் செய்தனர்.	இந்தியா-பாகிஸ்தான் எல்லையில் ரூ.100 கோடி மதிப்புள்ள 21 கிலோ ஹெராயின் போதைப்பொருள் பறிமுதல்	P	1.0	0.0
574	பாலியல் பலாத்கார பாதிப்பு பெண்களுக்கு இந்த நாட்டில் நீதி கிடைக்குமா, குற்றவாளிகள் தண்டிக்கப்படுவார்களா அல்லது நாம் வெட்கித் தலைகுனிய வேண்டியதுதானா? என மக்களவையில் பெண் எம்.பி. க்கள் கொந்தளித்தனர்	பலாத்காரத்தால் பாதித்த பெண்களுக்கு இந்தியாவில் நீதி கிடைக்குமா?- மக்களவையில் பெண் எம்.பி.க்கள் கொந்தளிப்பு	P	1.0	0.0
594	பிஹார் சட்டப்பேரவை தேர்தலில் முலாயம் தலைமையிலான சமாஜ்வாதி கட்சியுடன் லாலு பிரசாத் யாதவும், காங்கிரச ஸ்ுடன் நிதிஷ்குமாரும் கைகோர்க்க வாய்ப்புள்ளது	முலாயமுடன் லாலு, காங்கிரஸுடன் நிதிஷ் சேர வாய்ப்பு	P	1.0	0.0
596	பிஹாரில் நீதிமன்றத்துக்கு வெளியே நேற்று நாட்டு வெடிகுண்டு வெடித்ததில் இளைஞர் ஒருவர் பரிதாபமாக உயிரிழந்தார். 2 பேர் படுகாயமடைந்தனர்	பிஹார் நீதிமன்றத்தில் குண்டுவெடித்து ஒருவர் பலி: மாநிலம் முழுவதும் உஷார் நிலை	P	1.0	0.0
601	புகைப்பிடிப்பதால் உடல்நலக்கேடு பகைப்பிடிப்பவர்களுக்கு மட்டுமல்ல அது அவர்களை சுற்றியுள்ளவர்களையும் பாதிக்கிறது	புகைப்பிடித்தல் கேடு விளைவிக்கும் செயலாகும். அது புகைப்பிடிப்பவர்களை மட்டுமல்லாது அவர்களின் உள்வட்டத்தையும் இணைந்து தாக்குகிறது	P	1.0	0.0
607	புதுடெல்லியில் தனது மகன் இறந்து போனது தெரியாமலேயே 4 நாட்கள் அவரது சடலத்துடன் இருந்துள்ளார் 54 வயது தாயார் ராம்துலாரி.	டெல்லியில் அவலம்: இறந்த மகனின் உடலுடன் 4 நாட்கள் கழித்த தாய்	P	1.0	0.0
634	மக்களவையில் தலித் இளைஞர்கள் தாக்கப்பட்ட விவகாரம் தொடர்பாக காங்கிரஸ் உறுப்பினர்கள் மிகுந்த ஆவேசத்துடன் பிரச்சினை எழுப்பியிருந்த நிலையில், துணைத் தலைவரான ராகுல் எதையும் கண்டுகொள்ளாமல் உறங்கி கொண்டிருந்தது பெரும் சர்ச்சையை ஏற்படுத்தியுள்ளது.	மக்களவையில் தலித் விவகாரம் உச்சத்தில் இருந்த போது உறங்கி விழுந்த ராகுல்	P	1.0	0.0
653	மத்திய கிழக்கு நாடுகளுக்கு சென்றபோது மாயமான கேரள இளைஞர்கள் 20 பேர் ஐஎஸ்ஸில் இணைந்தது உறுதியானது: மாநில உளவுத் துறை அறிக்கை 	கேரளாவில் இருந்து மாயமான 20 இளைஞர்களும் ஐஎஸ் தீவிரவாத அமைப்பில் இணைந்துவிட்டதாக உளவுத் துறை உறுதி செய்துள்ளது.	P	1.0	0.0
679	மறைந்த முன்னாள் குடியரசுத் தலைவர் அப்துல் கலாம் நினைவிடத்தில் மணிமண்டபம் கட்டும் பணிக்கு வரும் 27-ம் தேதி அடிக்கல் நாட்டப்படும்	கலாம் நினைவு மணிமண்டபத்துக்கு ஜூலை 27-ல் அடிக்கல்: மத்திய அரசு அறிவிப்பு	P	1.0	0.0
696	முக்கிய ரயில் நிலையங்களில் பயணிகள் மற்றும் போக்குவரத்து நெருக்கடி ஏற்படுவதால், துணை ரயில் நிலையங்களை துவக்கி, அந்தப் பகுதிக்கு, பஸ் மற்றும் ரயில் சேவை வழங்கி, பயணிகளுக்கு உரிய நேரத்தில் ரயில்களை இயக்க ரயில்வே நிர்வாகம் முடிவு செய்துள்ளது	நாடு முழுதும் முக்கிய ரயில்வே ஸ்டேஷன்கள் அருகே துணை நிலையங்கள்: நெருக்கடியை போக்க அமைச்சர் சுரேஷ் பிரபு அறிவிப்பு	P	1.0	0.0
708	முன்னாள் இந்திய பிரதமர் இந்திரா, பாகிஸ்தானின் முன்னேற்றத்தை தடுக்கும் வகையில், அந்நாட்டை தாக்க நினைத்தார்' என, அமெரிக்க உளவு அமைப்பான, சி.ஐ.ஏ., தெரிவித்துள்ளது.	பாகிஸ்தானை தாக்க நினைத்த இந்திரா: சி.ஐ.ஏ., இணையதளத்தில் புது தகவல்	P	1.0	0.0
709	மூச்சிரைப்பால் அவதிப்பட்ட மகனைப் பார்ப்பதற்காக முதல் மாடிக்குச் சென்றபோது, கால் தவறிய மனைவி கணவன் மீது விழுந்ததில் இருவரும் உயிரிழந்தனர்	நோயுற்ற மகனை பார்க்கச் செல்லும்போது படியில் இருந்து தவறி விழுந்து மூத்த தம்பதி பலி 	P	1.0	0.0
727	ரயில் பயணத்தின் போது, பயணிகள் தாங்கள் விரும்பும் உணவுகளைப் பெற ஏற்பாடு செய்யப்பட்டு உள்ளது; விரைவில், இந்த வசதி அறிமுகமாகும் என, ரயில்வே அமைச்சர் சுரேஷ் பிரபு கூறினார்.	ரயில் பயணத்தின் போது விரும்பிய உணவு பெறலாம்: விரைவில் அறிமுகமாகிறது புதிய வசதி	P	1.0	0.0
728	ரயில் பயணத்தின் போது, பயணிகள் தாங்கள் விரும்பும் உணவுகளைப் பெற ஏற்பாடு செய்யப்பட்டு உள்ளது; விரைவில், இந்த வசதி அறிமுகமாகும்என, ரயில்வே அமைச்சர் சுரேஷ் பிரபு கூறினார்.	ரயில் பயணத்தின் போது விரும்பிய உணவு பெறலாம்: விரைவில் அறிமுகமாகிறது புதிய வசதி	P	1.0	0.0
744	ரிசர்வ் வங்கி கவர்னர் ரகுராம் ராஜனுக்கு பதவி நீட்டிப்பு வழங்க வேண்டும் என்று வலியுறுத்தி ஆன்லைனில் மனுக்கள் குவிகின்றன	ராஜன் மறு நியமனம்: ஆன்லைனில் குவியும் மனுக்கள்	P	1.0	0.0
755	லிபியாவில் ஐ.எஸ். தீவிரவாதிகளின் கட்டுப்பாட்டில் இருந்த சிர்தி துறைமுகத்தை லிபிய அரசுப் படைகள் மீட்டுள்ளனர்	ஐ.எஸ். தீவிரவாதிகளிடம் இருந்து லிபியா துறைமுகம் மீட்பு	P	1.0	0.0
756	லிபியாவில் ஐ.எஸ். தீவிரவாதிகளின் கட்டுப்பாட்டில் இருந்த சிர்தி துறைமுகத்தை லிபிய அரசுப் படைகள் மீட்டுள்ளனர்	ஐ.எஸ். தீவிரவாதிகளிடம் இருந்துலிபியாதுறைமுகம்மீட்பு	P	1.0	0.0
795	விராட்கோலியை இந்திய அணித்தலைவராக இருக்க சொல்லி நிர்ப்பந்திக்கக்கூடாது. அது அவருடைய தனிப்பட்ட விருப்பத்தின்படி அமையவேண்டும் என சுனில் கவாஸ்கர் கருத்து தெரிவித்துள்ளார்	விராட்கோலியிடம் அணித்தலைமை பதவியை திணிக்க வேண்டாம், அவர் ஆசையீனபடி செயல்படவிடுங்கள் என சுனில் கவாஸகர் கருத்து கூறினார்	P	1.0	0.0
805	வீட்டுப்பாடத்தை மாணவர்கள் ரசித்து செய்யும் வகையில் புதிய வழிகாட்டுதல்களை மத்திய அரசின் சிபிஎஸ்இ பாடவாரியம் அறிமுகப்படுத்தியுள்ளது	வீட்டுப் பாடத்தை பொழுதுபோக்கு அம்சமாக மாற்ற சிபிஎஸ்இ புதிய முயற்சி	P	1.0	0.0
809	வெள்ள பாதிப்பு இல்லாத, பிற மாவட்ட இன்ஜினியரிங் கல்லுாரிகளில், முதல் செமஸ்டர் தேர்வை தள்ளிவைக்க உத்தரவிட முடியாது' என, சென்னை உயர் நீதிமன்றம் திட்டவட்டமாக தெரிவித்தது.	இன்ஜி., கல்லூரி தேர்வுதள்ளி வைக்க மறுப்பு	P	1.0	0.0
811	வெள்ளப் பெருக்கால், சென்னையில் கூவம், அடையாறு நதிகள் சுத்தமாகி உள்ளன.	சென்னையில் பெய்த மழையால் கூவம் ஆறு சுத்தமாகியுள்ளது	P	1.0	0.0
813	வெளிநாடுகளில் கறுப்பு பணத்தை பதுக்கியவர்கள், தாங்களாக முன்வந்து அந்த விவரத்தை தெரிவித்தால்நியாயமான முறையில்  நடவடிக்கை எடுக்கப்படும்என, மத்திய நிதியமைச்சர், அருண் ஜெட்லி கூறினார்.	கறுப்பு பண முதலைகள் மீது நியாயமான நடவடிக்கை: மத்திய நிதியமைச்சர் ஜெட்லி உறுதி	P	1.0	0.0
825	ஜம்மு காஷ்மீரில் பலத்த பாதுகாப்புக்கு மத்தியில் அமர்நாத் யாத்திரை நேற்று மீண்டும் தொடங்கியது.	அமர்நாத் யாத்திரை மீண்டும் தொடங்கியது	P	1.0	0.0
830	ஜனவரியில் நடைபெற்ற அதிபர் தேர்தலில் ராஜபக் ஷே, தோல்வி அடைந்து இப்போதைய பிரதமர் ரணில் விக்ரமசிங்கே, மீண்டும் பிரதமராக பொறுப்பேற்க உள்ளார். 	ராஜபக் ஷே தோல்வி; பிரதமராகிறார் ரணில்	P	1.0	0.0
842	ஸ்லாமிய மதபோதகர் ஜாகீர் நாயக்கின் பேச்சுக்களை அரசு ஆராய்ந்து அதன் அடிப்படையில் உரிய நடவடிக்கை எடுக்கப்படும் என்று ராஜ்நாத் சிங் தெரிவித்துள்ளார்.	ஜாகீர் நாயக் பேச்சுக்களை ஆராய்ந்து வருகிறோம்: ராஜ்நாத் சிங்	P	1.0	0.0
